device,size,epochs_trained,avg_epoch_time_s,total_train_time_s,final_val_rmse,final_val_mae,final_val_r2
TPU,small,25,1.1946396541595459,29.98150634765625,5.637432515825214,2.5023956298828125,0.6770384907722473
TPU,medium,18,1.5554741091198392,28.084316730499268,5.598001920644547,2.429042100906372,0.6815406084060669
TPU,large,25,2.1400383281707764,53.612191915512085,5.55432436758044,2.4060182571411133,0.6864906549453735
